lon,lat,jjii
91.4768,17.7078,0000
91.8623,17.7905,0001
92.2487,17.8714,0002
92.6359,17.9506,0003
93.0238,18.0281,0004
93.4126,18.1038,0005
93.8021,18.1778,0006
94.1924,18.25,0007
94.5834,18.3205,0008
94.9752,18.3891,0009
95.3676,18.456,0010
95.7607,18.521,0011
96.1544,18.5843,0012
96.5489,18.6458,0013
96.9439,18.7054,0014
97.3396,18.7632,0015
97.7358,18.8192,0016
98.1327,18.8734,0017
98.53,18.9257,0018
98.928,18.9761,0019
99.3264,19.0247,0020
99.7254,19.0715,0021
100.125,19.1163,0022
100.525,19.1593,0023
100.925,19.2005,0024
101.326,19.2397,0025
101.727,19.2771,0026
102.129,19.3126,0027
102.531,19.3461,0028
102.933,19.3778,0029
103.335,19.4076,0030
103.738,19.4355,0031
104.142,19.4614,0032
104.545,19.4855,0033
104.949,19.5076,0034
105.353,19.5279,0035
105.757,19.5462,0036
106.161,19.5625,0037
106.566,19.577,0038
106.97,19.5895,0039
107.375,19.6002,0040
107.78,19.6088,0041
108.185,19.6156,0042
108.59,19.6204,0043
108.995,19.6233,0044
109.4,19.6243,0045
109.805,19.6233,0046
110.21,19.6204,0047
110.615,19.6156,0048
111.02,19.6088,0049
111.425,19.6002,0050
111.83,19.5895,0051
112.234,19.577,0052
112.639,19.5625,0053
113.043,19.5462,0054
113.447,19.5279,0055
113.851,19.5076,0056
114.255,19.4855,0057
114.659,19.4614,0058
115.062,19.4355,0059
115.465,19.4076,0060
115.867,19.3778,0061
116.27,19.3461,0062
116.671,19.3126,0063
117.073,19.2771,0064
117.474,19.2397,0065
117.875,19.2005,0066
118.275,19.1593,0067
118.675,19.1163,0068
119.075,19.0715,0069
119.474,19.0247,0070
119.872,18.9761,0071
120.27,18.9257,0072
120.667,18.8734,0073
121.064,18.8192,0074
121.46,18.7632,0075
121.856,18.7054,0076
122.251,18.6458,0077
122.646,18.5843,0078
123.039,18.521,0079
123.432,18.456,0080
123.825,18.3891,0081
124.217,18.3205,0082
124.608,18.25,0083
124.998,18.1778,0084
125.387,18.1038,0085
125.776,18.0281,0086
126.164,17.9506,0087
126.551,17.8714,0088
126.938,17.7905,0089
127.323,17.7078,0090
91.3887,18.0752,0100
91.776,18.1584,0101
92.1641,18.24,0102
92.5531,18.3198,0103
92.9429,18.3979,0104
93.3335,18.4742,0105
93.7248,18.5487,0106
94.1169,18.6215,0107
94.5098,18.6925,0108
94.9034,18.7616,0109
95.2977,18.829,0110
95.6927,18.8946,0111
96.0883,18.9583,0112
96.4846,19.0203,0113
96.8816,19.0804,0114
97.2792,19.1386,0115
97.6774,19.195,0116
98.0761,19.2496,0117
98.4755,19.3023,0118
98.8753,19.3532,0119
99.2758,19.4021,0120
99.6767,19.4492,0121
100.078,19.4945,0122
100.48,19.5378,0123
100.882,19.5793,0124
101.285,19.6188,0125
101.688,19.6565,0126
102.092,19.6922,0127
102.496,19.726,0128
102.9,19.758,0129
103.305,19.788,0130
103.71,19.8161,0131
104.115,19.8422,0132
104.52,19.8665,0133
104.926,19.8888,0134
105.332,19.9092,0135
105.738,19.9276,0136
106.145,19.9441,0137
106.551,19.9587,0138
106.958,19.9713,0139
107.365,19.982,0140
107.772,19.9908,0141
108.179,19.9976,0142
108.586,20.0025,0143
108.993,20.0054,0144
109.4,20.0063,0145
109.807,20.0054,0146
110.214,20.0025,0147
110.621,19.9976,0148
111.028,19.9908,0149
111.435,19.982,0150
111.842,19.9713,0151
112.249,19.9587,0152
112.655,19.9441,0153
113.062,19.9276,0154
113.468,19.9092,0155
113.874,19.8888,0156
114.28,19.8665,0157
114.685,19.8422,0158
115.09,19.8161,0159
115.495,19.788,0160
115.9,19.758,0161
116.304,19.726,0162
116.708,19.6922,0163
117.112,19.6565,0164
117.515,19.6188,0165
117.918,19.5793,0166
118.32,19.5378,0167
118.722,19.4945,0168
119.123,19.4492,0169
119.524,19.4021,0170
119.925,19.3532,0171
120.325,19.3023,0172
120.724,19.2496,0173
121.123,19.195,0174
121.521,19.1386,0175
121.918,19.0804,0176
122.315,19.0203,0177
122.712,18.9583,0178
123.107,18.8946,0179
123.502,18.829,0180
123.897,18.7616,0181
124.29,18.6925,0182
124.683,18.6215,0183
